Feature,Outlier_Count,Outlier_Rate
T2_IB_MaximumIntensity,1,0.008771929824561403
T2_IB_MinimumIntensity,1,0.008771929824561403
Pre_GLSZM_SmallZoneEmphasis,1,0.008771929824561403
Pre_IH_IntensityHistogramEntropyLog2_Intensity,1,0.008771929824561403
Pre_IH_MaximumHistogramGradientGreyLevel_Intensity,1,0.008771929824561403
Pre_GLCM_InverseDifferenceMoment,1,0.008771929824561403
Pre_GLSZM_NormalisedZoneSizeNonUniformity,1,0.008771929824561403
ADC_Morph_SurfaceArea_cm2,1,0.008771929824561403
Pre_GLRLM_RunEntropy,1,0.008771929824561403
Pre_GLRLM_LongRunHighGreyLevelEmphasis,1,0.008771929824561403
Pre_GLRLM_ShortRunHighGreyLevelEmphasis,1,0.008771929824561403
Pre_GLRLM_HighGreyLevelRunEmphasis,1,0.008771929824561403
Pre_GLCM_Autocorrelation,1,0.008771929824561403
T2_GLSZM_ZonePercentage,1,0.008771929824561403
Pre_IH_MinimumHistogramGradientGreyLevel_Intensity,1,0.008771929824561403
Pre_GLCM_NormalisedInverseDifferenceMoment,1,0.008771929824561403
T2_Morph_SurfaceToVolumeRatio_cm,1,0.008771929824561403
ADC_GLCM_InverseDifferenceMoment,1,0.008771929824561403
Pre_GLCM_JointEntropyLog2,1,0.008771929824561403
Pre_GLCM_JointEntropyLog10,1,0.008771929824561403
Pre_GLCM_InverseDifference,1,0.008771929824561403
T2_GLCM_JointEntropyLog10,0,0.0
T2_GLCM_NormalisedInverseDifferenceMoment,0,0.0
ADC_IH_IntensityHistogramMaximumGreyLevel_Intensity,0,0.0
T2_GLCM_SumEntropy,0,0.0
ADC_IH_IntensityHistogramEntropyLog2_Intensity,0,0.0
T2_GLCM_Correlation,0,0.0
ADC_IH_MaximumHistogramGradient_Intensity,0,0.0
T2_GLCM_DifferenceEntropy,0,0.0
ADC_IH_MinimumHistogramGradient_Intensity,0,0.0
T2_GLCM_InverseDifferenceMoment,0,0.0
ADC_GLCM_JointMaximum,0,0.0
T2_GLCM_NormalisedInverseDifference,0,0.0
T2_GLCM_InverseDifference,0,0.0
ADC_IH_IntensityHistogramInterquartileRange_Intensity,0,0.0
T2_GLCM_JointEntropyLog2,0,0.0
ADC_IH_IntensityHistogramStd_Intensity,0,0.0
ADC_IB_IntensityInterquartileRange,0,0.0
ADC_IH_IntensityHistogram75thPercentile,0,0.0
ADC_IH_IntensityHistogram50thPercentile,0,0.0
ADC_Morph_MaxIntensityCoor_RoiCentroidCoor_Dist_cm,0,0.0
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0,0.0
ADC_Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,0,0.0
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,0,0.0
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0,0.0
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0,0.0
ADC_Morph_IntegratedIntensity_Intensity,0,0.0
ADC_IB_IntensityKurtosis,0,0.0
ADC_IB_MedianIntensity,0,0.0
T2_GLSZM_SmallZoneEmphasis,0,0.0
ADC_IB_10thIntensityPercentile,0,0.0
ADC_IB_25thIntensityPercentile,0,0.0
ADC_IB_50thIntensityPercentile,0,0.0
ADC_IB_75thIntensityPercentile,0,0.0
T2_GLRLM_RunEntropy,0,0.0
ADC_IB_StandardDeviation,0,0.0
ADC_GLCM_DifferenceVariance,0,0.0
ADC_IB_IntensityBasedCoefficientOfVariation,0,0.0
ADC_IB_IntensityBasedQuartileCoefficientOfDispersion,0,0.0
ADC_IB_IntensityBasedEnergy,0,0.0
ADC_IB_TotalLesionGlycolysis,0,0.0
ADC_IH_IntensityHistogramKurtosis_Intensity,0,0.0
ADC_IH_IntensityHistogramMedian_Intensity,0,0.0
ADC_IH_IntensityHistogram10thPercentile,0,0.0
ADC_IH_IntensityHistogram25thPercentile,0,0.0
ADC_GLCM_JointEntropyLog10,0,0.0
Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0,0.0
ADC_GLCM_DifferenceEntropy,0,0.0
T2_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,0,0.0
Pre_IH_IntensityHistogramMedian_Intensity,0,0.0
Pre_IH_IntensityHistogramMinimumGreyLevel_Intensity,0,0.0
Pre_IH_IntensityHistogram10thPercentile,0,0.0
Pre_IH_IntensityHistogram25thPercentile,0,0.0
Pre_IH_IntensityHistogram50thPercentile,0,0.0
Pre_IH_IntensityHistogram75thPercentile,0,0.0
Pre_IH_IntensityHistogram90thPercentile,0,0.0
Pre_IH_IntensityHistogramStd_Intensity,0,0.0
Pre_IH_IntensityHistogramRange_Intensity,0,0.0
Pre_IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity,0,0.0
Pre_IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,0,0.0
Pre_IH_AreaUnderCurveCIVH_Intensity,0,0.0
Pre_GLCM_JointAverage,0,0.0
ADC_GLCM_SumVariance,0,0.0
T2_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,0,0.0
Pre_GLCM_DifferenceAverage,0,0.0
Pre_GLCM_DifferenceEntropy,0,0.0
T2_Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0,0.0
T2_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0,0.0
Pre_GLCM_SumAverage,0,0.0
Pre_GLCM_Dissimilarity,0,0.0
Pre_GLCM_NormalisedInverseDifference,0,0.0
Pre_GLCM_InverseVariance,0,0.0
Pre_GLCM_Correlation,0,0.0
Pre_NGTDM_Coarseness,0,0.0
Pre_GLSZM_ZonePercentage,0,0.0
Pre_IH_IntensityHistogramMean_Intensity,0,0.0
Pre_IB_RootMeanSquareIntensity,0,0.0
