file_name,old_column_name,cleaned_column_name,final_column_name
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_AreaUnderCurveCIVH(IBSI:No)[],Post1_IB_AreaUnderCurveCIVH,Post1_IB_AreaUnderCurveCIVH
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_IntensityBasedEnergy(IBSI:N8CA)[],Post1_IB_IntensityBasedEnergy,Post1_IB_IntensityBasedEnergy
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_RootMeanSquareIntensity(IBSI:5ZWQ)[],Post1_IB_RootMeanSquareIntensity,Post1_IB_RootMeanSquareIntensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_TotalLesionGlycolysis(IBSI:No)[],Post1_IB_TotalLesionGlycolysis,Post1_IB_TotalLesionGlycolysis
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogramMean(IBSI:X6K6)[Intensity],Post1_IH_IntensityHistogramMean_Intensity,Post1_IH_IntensityHistogramMean_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogramVariance(IBSI:CH89)[Intensity],Post1_IH_IntensityHistogramVariance_Intensity,Post1_IH_IntensityHistogramVariance_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogramSkewness(IBSI:88K1)[Intensity],Post1_IH_IntensityHistogramSkewness_Intensity,Post1_IH_IntensityHistogramSkewness_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogramKurtosis(IBSI:C3I7)[Intensity],Post1_IH_IntensityHistogramKurtosis_Intensity,Post1_IH_IntensityHistogramKurtosis_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogramMedian(IBSI:WIFQ)[Intensity],Post1_IH_IntensityHistogramMedian_Intensity,Post1_IH_IntensityHistogramMedian_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogramMinimumGreyLevel(IBSI:1PR8)[Intensity],Post1_IH_IntensityHistogramMinimumGreyLevel_Intensity,Post1_IH_IntensityHistogramMinimumGreyLevel_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogram10thPercentile(IBSI:GPMT)[],Post1_IH_IntensityHistogram10thPercentile,Post1_IH_IntensityHistogram10thPercentile
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogram25thPercentile(IBSI:No)[],Post1_IH_IntensityHistogram25thPercentile,Post1_IH_IntensityHistogram25thPercentile
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogram50thPercentile(IBSI:No)[],Post1_IH_IntensityHistogram50thPercentile,Post1_IH_IntensityHistogram50thPercentile
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogram75thPercentile(IBSI:No)[],Post1_IH_IntensityHistogram75thPercentile,Post1_IH_IntensityHistogram75thPercentile
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogram90thPercentile(IBSI:OZ0C)[],Post1_IH_IntensityHistogram90thPercentile,Post1_IH_IntensityHistogram90thPercentile
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogramStd(IBSI:No)[Intensity],Post1_IH_IntensityHistogramStd_Intensity,Post1_IH_IntensityHistogramStd_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogramMaximumGreyLevel(IBSI:3NCY)[Intensity],Post1_IH_IntensityHistogramMaximumGreyLevel_Intensity,Post1_IH_IntensityHistogramMaximumGreyLevel_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogramMode(IBSI:AMMC)[Intensity],Post1_IH_IntensityHistogramMode_Intensity,Post1_IH_IntensityHistogramMode_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogramInterquartileRange(IBSI:WR0O)[Intensity],Post1_IH_IntensityHistogramInterquartileRange_Intensity,Post1_IH_IntensityHistogramInterquartileRange_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogramRange(IBSI:5Z3W)[Intensity],Post1_IH_IntensityHistogramRange_Intensity,Post1_IH_IntensityHistogramRange_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogramMeanAbsoluteDeviation(IBSI:D2ZX)[Intensity],Post1_IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,Post1_IH_IntensityHistogramMeanAbsoluteDeviation_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogramRobustMeanAbsoluteDeviation(IBSI:WRZB)[Intensity],Post1_IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity,Post1_IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogramMedianAbsoluteDeviation(IBSI:4RNL)[Intensity],Post1_IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,Post1_IH_IntensityHistogramMedianAbsoluteDeviation_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogramCoefficientOfVariation(IBSI:CWYJ)[Intensity],Post1_IH_IntensityHistogramCoefficientOfVariation_Intensity,Post1_IH_IntensityHistogramCoefficientOfVariation_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogramQuartileCoefficientOfDispersion(IBSI:SLWD)[Intensity],Post1_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,Post1_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogramEntropyLog10(IBSI:No)[Intensity],Post1_IH_IntensityHistogramEntropyLog10_Intensity,Post1_IH_IntensityHistogramEntropyLog10_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_IntensityHistogramEntropyLog2(IBSI:TLU2)[Intensity],Post1_IH_IntensityHistogramEntropyLog2_Intensity,Post1_IH_IntensityHistogramEntropyLog2_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_AreaUnderCurveCIVH(IBSI:No)[Intensity],Post1_IH_AreaUnderCurveCIVH_Intensity,Post1_IH_AreaUnderCurveCIVH_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_Uniformity(IBSI:BJ5W)[Intensity],Post1_IH_Uniformity_Intensity,Post1_IH_Uniformity_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_RootMeanSquare(IBSI:No)[Intensity],Post1_IH_RootMeanSquare_Intensity,Post1_IH_RootMeanSquare_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_MaximumHistogramGradient(IBSI:12CE)[Intensity],Post1_IH_MaximumHistogramGradient_Intensity,Post1_IH_MaximumHistogramGradient_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_MaximumHistogramGradientGreyLevel(IBSI:8E6O)[Intensity],Post1_IH_MaximumHistogramGradientGreyLevel_Intensity,Post1_IH_MaximumHistogramGradientGreyLevel_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_MinimumHistogramGradient(IBSI:VQB3)[Intensity],Post1_IH_MinimumHistogramGradient_Intensity,Post1_IH_MinimumHistogramGradient_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-HISTOGRAM_MinimumHistogramGradientGreyLevel(IBSI:RHQZ)[Intensity],Post1_IH_MinimumHistogramGradientGreyLevel_Intensity,Post1_IH_MinimumHistogramGradientGreyLevel_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_JointMaximum(IBSI:GYBY),Post1_GLCM_JointMaximum,Post1_GLCM_JointMaximum
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_JointAverage(IBSI:60VM),Post1_GLCM_JointAverage,Post1_GLCM_JointAverage
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_JointVariance(IBSI:UR99),Post1_GLCM_JointVariance,Post1_GLCM_JointVariance
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_JointEntropyLog2(IBSI:TU9B),Post1_GLCM_JointEntropyLog2,Post1_GLCM_JointEntropyLog2
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_JointEntropyLog10(IBSI:No),Post1_GLCM_JointEntropyLog10,Post1_GLCM_JointEntropyLog10
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_DifferenceAverage(IBSI:TF7R),Post1_GLCM_DifferenceAverage,Post1_GLCM_DifferenceAverage
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_DifferenceVariance(IBSI:D3YU),Post1_GLCM_DifferenceVariance,Post1_GLCM_DifferenceVariance
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_DifferenceEntropy(IBSI:NTRS),Post1_GLCM_DifferenceEntropy,Post1_GLCM_DifferenceEntropy
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_SumAverage(IBSI:ZGXS),Post1_GLCM_SumAverage,Post1_GLCM_SumAverage
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_SumVariance(IBSI:OEEB),Post1_GLCM_SumVariance,Post1_GLCM_SumVariance
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_SumEntropy(IBSI:P6QZ),Post1_GLCM_SumEntropy,Post1_GLCM_SumEntropy
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_AngularSecondMoment(IBSI:8ZQL),Post1_GLCM_AngularSecondMoment,Post1_GLCM_AngularSecondMoment
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_Contrast(IBSI:ACUI),Post1_GLCM_Contrast,Post1_GLCM_Contrast
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_Dissimilarity(IBSI:8S9J),Post1_GLCM_Dissimilarity,Post1_GLCM_Dissimilarity
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_InverseDifference(IBSI:IB1Z),Post1_GLCM_InverseDifference,Post1_GLCM_InverseDifference
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_NormalisedInverseDifference(IBSI:NDRX),Post1_GLCM_NormalisedInverseDifference,Post1_GLCM_NormalisedInverseDifference
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_InverseDifferenceMoment(IBSI:WF0Z),Post1_GLCM_InverseDifferenceMoment,Post1_GLCM_InverseDifferenceMoment
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_NormalisedInverseDifferenceMoment(IBSI:1QCO),Post1_GLCM_NormalisedInverseDifferenceMoment,Post1_GLCM_NormalisedInverseDifferenceMoment
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_InverseVariance(IBSI:E8JP),Post1_GLCM_InverseVariance,Post1_GLCM_InverseVariance
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_Correlation(IBSI:NI2N),Post1_GLCM_Correlation,Post1_GLCM_Correlation
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_Autocorrelation(IBSI:QWB0),Post1_GLCM_Autocorrelation,Post1_GLCM_Autocorrelation
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_ClusterTendency(IBSI:DG8W),Post1_GLCM_ClusterTendency,Post1_GLCM_ClusterTendency
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_ClusterShade(IBSI:7NFM),Post1_GLCM_ClusterShade,Post1_GLCM_ClusterShade
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLCM_ClusterProminence(IBSI:AE86),Post1_GLCM_ClusterProminence,Post1_GLCM_ClusterProminence
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLRLM_ShortRunsEmphasis(IBSI:22OV),Post1_GLRLM_ShortRunsEmphasis,Post1_GLRLM_ShortRunsEmphasis
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLRLM_LongRunsEmphasis(IBSI:W4KF),Post1_GLRLM_LongRunsEmphasis,Post1_GLRLM_LongRunsEmphasis
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLRLM_LowGreyLevelRunEmphasis(IBSI:V3SW),Post1_GLRLM_LowGreyLevelRunEmphasis,Post1_GLRLM_LowGreyLevelRunEmphasis
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLRLM_HighGreyLevelRunEmphasis(IBSI:G3QZ),Post1_GLRLM_HighGreyLevelRunEmphasis,Post1_GLRLM_HighGreyLevelRunEmphasis
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLRLM_ShortRunLowGreyLevelEmphasis(IBSI:HTZT),Post1_GLRLM_ShortRunLowGreyLevelEmphasis,Post1_GLRLM_ShortRunLowGreyLevelEmphasis
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLRLM_ShortRunHighGreyLevelEmphasis(IBSI:GD3A),Post1_GLRLM_ShortRunHighGreyLevelEmphasis,Post1_GLRLM_ShortRunHighGreyLevelEmphasis
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLRLM_LongRunLowGreyLevelEmphasis(IBSI:IVPO),Post1_GLRLM_LongRunLowGreyLevelEmphasis,Post1_GLRLM_LongRunLowGreyLevelEmphasis
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLRLM_LongRunHighGreyLevelEmphasis(IBSI:3KUM),Post1_GLRLM_LongRunHighGreyLevelEmphasis,Post1_GLRLM_LongRunHighGreyLevelEmphasis
Post1_ADC_M1_pairwise_random_label.csv,Post1__GLRLM_GreyLevelNonUniformity(IBSI:R5YN),Post1_GLRLM_GreyLevelNonUniformity,Post1_GLRLM_GreyLevelNonUniformity
