Fold,n_train,n_test,n_features,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC
4,91,26,16,"['Pre_D_P11', 'Pre_D_P12', 'Pre_D_P17', 'Pre_D_P19', 'Pre_D_P21', 'Pre_D_P34', 'Pre_D_P35', 'Pre_D_P39']",NaiveBayes,0.60625,0.5769230769230769,0.50625,0.7038626617788517,0.6190476190476191,0.8125,0.7027027027027027,0.2,0.5526274509803921
4,91,26,16,"['Pre_D_P11', 'Pre_D_P12', 'Pre_D_P17', 'Pre_D_P19', 'Pre_D_P21', 'Pre_D_P34', 'Pre_D_P35', 'Pre_D_P39']",XGBoost,0.56875,0.5384615384615384,0.475,0.7737428419851189,0.6,0.75,0.6666666666666666,0.2,0.614718954248366
4,91,26,16,"['Pre_D_P11', 'Pre_D_P12', 'Pre_D_P17', 'Pre_D_P19', 'Pre_D_P21', 'Pre_D_P34', 'Pre_D_P35', 'Pre_D_P39']",LightGBM,0.553125,0.46153846153846156,0.43125,0.7131960504880397,0.5625,0.5625,0.5625,0.3,0.6441307189542483
5,104,13,16,"['Pre_D_P2', 'Pre_D_P23', 'Pre_D_P28', 'Pre_D_P32', 'Pre_D_P37', 'Pre_D_P42', 'Pre_D_P44', 'Pre_D_P45', 'Pre_D_P9']",LogisticRegression,0.6944444444444444,0.5384615384615384,0.5972222222222222,0.5,0.375,0.75,0.5,0.4444444444444444,0.7489122807017544
5,104,13,16,"['Pre_D_P2', 'Pre_D_P23', 'Pre_D_P28', 'Pre_D_P32', 'Pre_D_P37', 'Pre_D_P42', 'Pre_D_P44', 'Pre_D_P45', 'Pre_D_P9']",SVM_RBF,0.6388888888888888,0.46153846153846156,0.6111111111111112,0.48971861471861466,0.36363636363636365,1.0,0.5333333333333333,0.2222222222222222,0.7664561403508772
5,104,13,16,"['Pre_D_P2', 'Pre_D_P23', 'Pre_D_P28', 'Pre_D_P32', 'Pre_D_P37', 'Pre_D_P42', 'Pre_D_P44', 'Pre_D_P45', 'Pre_D_P9']",SVM_Linear,0.6111111111111112,0.46153846153846156,0.6111111111111112,0.44805194805194803,0.36363636363636365,1.0,0.5333333333333333,0.2222222222222222,0.7559298245614035
5,104,13,16,"['Pre_D_P2', 'Pre_D_P23', 'Pre_D_P28', 'Pre_D_P32', 'Pre_D_P37', 'Pre_D_P42', 'Pre_D_P44', 'Pre_D_P45', 'Pre_D_P9']",RandomForest,0.7222222222222222,0.5384615384615384,0.6666666666666666,0.6,0.4,1.0,0.5714285714285714,0.3333333333333333,0.6798333333333333
5,104,13,16,"['Pre_D_P2', 'Pre_D_P23', 'Pre_D_P28', 'Pre_D_P32', 'Pre_D_P37', 'Pre_D_P42', 'Pre_D_P44', 'Pre_D_P45', 'Pre_D_P9']",GradientBoosting,0.7777777777777778,0.46153846153846156,0.5416666666666666,0.8269230769230769,0.3333333333333333,0.75,0.46153846153846156,0.3333333333333333,0.6734736842105263
5,104,13,16,"['Pre_D_P2', 'Pre_D_P23', 'Pre_D_P28', 'Pre_D_P32', 'Pre_D_P37', 'Pre_D_P42', 'Pre_D_P44', 'Pre_D_P45', 'Pre_D_P9']",ExtraTrees,0.7222222222222222,0.46153846153846156,0.6111111111111112,0.6349206349206349,0.36363636363636365,1.0,0.5333333333333333,0.2222222222222222,0.7219032258064516
5,104,13,16,"['Pre_D_P2', 'Pre_D_P23', 'Pre_D_P28', 'Pre_D_P32', 'Pre_D_P37', 'Pre_D_P42', 'Pre_D_P44', 'Pre_D_P45', 'Pre_D_P9']",KNN,0.38888888888888884,0.46153846153846156,0.6111111111111112,0.29775432900432897,0.36363636363636365,1.0,0.5333333333333333,0.2222222222222222,0.659
5,104,13,16,"['Pre_D_P2', 'Pre_D_P23', 'Pre_D_P28', 'Pre_D_P32', 'Pre_D_P37', 'Pre_D_P42', 'Pre_D_P44', 'Pre_D_P45', 'Pre_D_P9']",NaiveBayes,0.75,0.5384615384615384,0.6666666666666666,0.7182539682539683,0.4,1.0,0.5714285714285714,0.3333333333333333,0.7348771929824561
5,104,13,16,"['Pre_D_P2', 'Pre_D_P23', 'Pre_D_P28', 'Pre_D_P32', 'Pre_D_P37', 'Pre_D_P42', 'Pre_D_P44', 'Pre_D_P45', 'Pre_D_P9']",XGBoost,0.6111111111111112,0.6153846153846154,0.7222222222222222,0.5381944444444444,0.4444444444444444,1.0,0.6153846153846154,0.4444444444444444,0.6654516129032257
5,104,13,16,"['Pre_D_P2', 'Pre_D_P23', 'Pre_D_P28', 'Pre_D_P32', 'Pre_D_P37', 'Pre_D_P42', 'Pre_D_P44', 'Pre_D_P45', 'Pre_D_P9']",LightGBM,0.7777777777777778,0.46153846153846156,0.5416666666666666,0.75,0.3333333333333333,0.75,0.46153846153846156,0.3333333333333333,0.6936774193548387
