feature,n_valid,mean_benign,mean_malignant,median_benign,median_malignant,shapiro_p_benign,shapiro_p_malignant,normal_in_both_classes,correlation_method,correlation_coefficient,correlation_p_value,class_difference_test,class_difference_stat,class_difference_p_value,cohen_d_malignant_minus_benign,correlation_q_value_fdr,class_difference_q_value_fdr
NGTDM_Strength,116,5.7245429871538445,6.862435161046875,3.304657877,5.229850430000001,1.2159021795658992e-06,8.055757284787602e-05,False,Spearman,0.12320662758638788,0.18762702270201426,Mann_Whitney_U,1426.0,0.18734697594521643,0.19114227542620987,0.2748072554726471,0.2743970859803675
Morph_IntegratedIntensity_Intensity,116,1057218.7148403267,501336.33717796876,81148.671695,130315.7077,8.781623479554456e-16,6.324141319486842e-13,False,Spearman,0.12165360286891241,0.19329357668278224,Mann_Whitney_U,1429.0,0.1929800355291983,-0.1325895948249831,0.28027568619003423,0.2798210515173375
GLRLM_LowGreyLevelRunEmphasis,116,0.09263722275,0.04236017215625,0.02692846,0.0232623605,2.2490216035385785e-11,1.7719957353654046e-13,False,Spearman,-0.11854755343396145,0.2049967482055314,Mann_Whitney_U,1893.0,0.20461760963963105,-0.41592738823310954,0.2914169459784515,0.2908779744877108
GLSZM_SmallZoneEmphasis,116,0.3960312312692308,0.421258647453125,0.3881171615,0.401537514,0.15408080513482855,0.012287726317561589,False,Spearman,0.11854755343396145,0.2049967482055314,Mann_Whitney_U,1435.0,0.20461760963963105,0.22602252189913166,0.2914169459784515,0.2908779744877108
GLRLM_RunLengthNonUniformity,116,2123.6348930103845,1191.6635593771875,245.5521109,287.246085,8.674606884335565e-16,1.3981687111794512e-14,False,Spearman,0.11647685381066081,0.2130761090425016,Mann_Whitney_U,1439.0,0.21265450571769218,-0.11119761739657211,0.29996151272973526,0.2993679934860715
IB_IntensitySkewness,116,0.20851010796153846,0.001372172515624999,0.03714959,-0.1086400105,0.0022272985304167925,4.6960711029931104e-08,False,Spearman,-0.11492382909318533,0.21928271555346435,Mann_Whitney_U,1886.0,0.21883005436098868,-0.24523967787278683,0.3057307091851186,0.3050995950225323
IH_IntensityHistogramKurtosis_Intensity,116,0.6442237185961539,0.3159573519843749,0.101104818,-0.245272082,3.283354140703834e-08,9.182753690091569e-13,False,Spearman,-0.11026475494075891,0.23866766337192208,Mann_Whitney_U,1877.0,0.23812669950602916,-0.14414481237995708,0.3295886779897972,0.3288416326511831
IB_IntensityKurtosis,116,0.7002014980769229,0.3354140368124999,0.08710486,-0.206175767,9.386965690938234e-09,9.305856036341274e-13,False,Spearman,-0.10922940512910859,0.24313268281129047,Mann_Whitney_U,1875.0,0.24257323245664553,-0.15695608318042295,0.3325871604494068,0.33182187458692075
Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,116,1.8478722012884612,2.202193728515625,1.58113883,1.58113883,8.038066547826181e-07,1.3983484926207525e-08,False,Spearman,0.10189282623001142,0.2764317440461125,Mann_Whitney_U,1473.5,0.27579644885102694,0.21659905387453313,0.37372585444678735,0.36942033667305
GLRLM_ShortRunLowGreyLevelEmphasis,116,0.06410854859615385,0.034993578296875,0.0251598375,0.022448454,4.2963447673378806e-10,1.058751312356634e-11,False,Spearman,-0.10146428154173119,0.2784673298275627,Mann_Whitney_U,1860.0,0.2777854953313379,-0.4075665209541814,0.37372585444678735,0.36942033667305
