feature,variance,log10_variance
Pre_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,0.11035318073216475,-0.9572151445598356
Post1_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.11289547064246136,-0.9473234815826513
Post2_NGTDM_Contrast,0.11319066923617764,-0.9461893723158107
Pre_GLRLM_RunLengthVariance,0.11534359178362735,-0.9380065288401884
T2_IH_IntensityHistogramEntropyLog10_Intensity,0.11881125954349835,-0.9251424000422791
Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.11919479250709025,-0.9237427180387634
Post1_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.13246967137096388,-0.8778835410742186
T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.1414798563732548,-0.8493053897386845
T2_Morph_CentreOfMassShift_mm,0.15559687206466008,-0.8079991377979865
Pre_GLRLM_LongRunLowGreyLevelEmphasis,0.1722268199358872,-0.7638992173212263
Pre_Morph_CentreOfMassShift_mm,0.18083055036846787,-0.7427281958957794
Post2_Morph_CentreOfMassShift_mm,0.18613292883191535,-0.7301767889037537
Post1_Morph_CentreOfMassShift_mm,0.20255774564804396,-0.6934511450831012
Pre_GLCM_JointEntropyLog10,0.21702561547918184,-0.6634890034549364
Post2_GLRLM_RunLengthVariance,0.25060864895775653,-0.6010039447934057
Post2_GLCM_JointEntropyLog10,0.2673382169548135,-0.5729389528534943
Post1_GLCM_JointEntropyLog10,0.2706112900320693,-0.567654088385923
Post1_GLRLM_RunLengthVariance,0.2921570980366232,-0.5343835579208025
Post1_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,0.3125637523012834,-0.5050613880822403
Pre_GLRLM_RunEntropy,0.3286324702418262,-0.48328952869580777
Post1_GLRLM_RunEntropy,0.3509186210211468,-0.4547935859236679
Post2_GLRLM_RunEntropy,0.3646150482932145,-0.43816541122609437
T2_GLCM_JointEntropyLog10,0.3890774174598873,-0.40996397545875424
Post2_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,0.41862056282241733,-0.3781794427402652
Pre_GLRLM_LongRunsEmphasis,0.6208893772213461,-0.20698577042166494
