Feature_1,Feature_2,Abs_Spearman_Correlation,Above_0_95,Above_0_99
IB_IntensityVariance,IB_IntensityBasedMedianAbsoluteDeviation,0.9851338998036836,True,False
GLCM_NormalisedInverseDifference,GLCM_NormalisedInverseDifferenceMoment,0.9850439838750769,True,False
IB_IntensityBasedMedianAbsoluteDeviation,IH_IntensityHistogramStd_Intensity,0.9849765469286217,True,False
IB_IntensityBasedMedianAbsoluteDeviation,IH_IntensityHistogramVariance_Intensity,0.9849765469286217,True,False
IB_IntensityKurtosis,IH_IntensityHistogramKurtosis_Intensity,0.9848566590238127,True,False
GLCM_ClusterTendency,GLCM_ClusterProminence,0.9848117010595093,True,False
GLCM_SumVariance,GLCM_ClusterProminence,0.9848117010595093,True,False
Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,0.9846993061487509,True,False
GLCM_DifferenceEntropy,GLCM_SumEntropy,0.9846824182202276,True,False
IB_StandardDeviation,IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,0.9844370513569812,True,False
IB_IntensityVariance,IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,0.9844370513569812,True,False
IH_IntensityHistogramStd_Intensity,IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,0.9843396424343239,True,False
IH_IntensityHistogramVariance_Intensity,IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,0.9843396424343239,True,False
IB_IntensityBasedMeanAbsoluteDeviation,GLRLM_GreyLevelVariance,0.9842422335116666,True,False
IB_75thIntensityPercentile,IB_RootMeanSquareIntensity,0.9842046502145811,True,False
IB_MeanIntensity,IH_IntensityHistogram50thPercentile,0.9841602560131584,True,False
IH_IntensityHistogramMean_Intensity,IH_IntensityHistogram50thPercentile,0.9841602560131584,True,False
IH_IntensityHistogramMean_Intensity,IH_IntensityHistogramMedian_Intensity,0.9841602560131584,True,False
IH_IntensityHistogramMedian_Intensity,IH_AreaUnderCurveCIVH_Intensity,0.9841602560131584,True,False
IH_IntensityHistogram50thPercentile,IH_AreaUnderCurveCIVH_Intensity,0.9841602560131584,True,False
IB_MeanIntensity,IH_IntensityHistogramMedian_Intensity,0.9841602560131584,True,False
IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,GLRLM_GreyLevelVariance,0.9841073596187565,True,False
GLCM_SumAverage,GLRLM_ShortRunHighGreyLevelEmphasis,0.9839874717139474,True,False
GLCM_JointAverage,GLRLM_ShortRunHighGreyLevelEmphasis,0.9839874717139474,True,False
GLCM_DifferenceVariance,GLRLM_GreyLevelVariance,0.9838376118329362,True,False
IB_75thIntensityPercentile,GLRLM_HighGreyLevelRunEmphasis,0.9834890639208484,True,False
IB_AreaUnderCurveCIVH,IH_IntensityHistogramMedian_Intensity,0.9834546060418369,True,False
IB_AreaUnderCurveCIVH,IH_IntensityHistogram50thPercentile,0.9834546060418369,True,False
IH_IntensityHistogramStd_Intensity,GLCM_DifferenceVariance,0.9827810996718068,True,False
IH_IntensityHistogramVariance_Intensity,GLCM_DifferenceVariance,0.9827810996718068,True,False
IB_IntensityVariance,GLCM_DifferenceVariance,0.9826537187729473,True,False
IB_StandardDeviation,GLCM_DifferenceVariance,0.9826537187729473,True,False
IH_IntensityHistogramMedian_Intensity,GLCM_SumAverage,0.9826325988943931,True,False
IH_IntensityHistogramMedian_Intensity,GLCM_JointAverage,0.9826325988943931,True,False
IH_IntensityHistogram50thPercentile,GLCM_JointAverage,0.9826325988943931,True,False
IH_IntensityHistogram50thPercentile,GLCM_SumAverage,0.9826325988943931,True,False
GLRLM_ShortRunsEmphasis,GLSZM_ZonePercentage,0.982531924899304,True,False
IH_IntensityHistogramVariance_Intensity,GLCM_ClusterProminence,0.982436421945481,True,False
IH_IntensityHistogramStd_Intensity,GLCM_ClusterProminence,0.982436421945481,True,False
IB_IntensityVariance,GLCM_ClusterProminence,0.9823315200287731,True,False
IB_StandardDeviation,GLCM_ClusterProminence,0.9823315200287731,True,False
IB_RootMeanSquareIntensity,IH_IntensityHistogram75thPercentile,0.9822530542170744,True,False
IH_Uniformity_Intensity,GLCM_JointEntropyLog10,0.9818669543976382,True,False
IH_Uniformity_Intensity,GLCM_JointEntropyLog2,0.9818669543976382,True,False
IB_IntensityInterquartileRange,IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,0.9817469297502428,True,False
IH_IntensityHistogram75thPercentile,GLRLM_HighGreyLevelRunEmphasis,0.9814424750711401,True,False
IB_IntensityInterquartileRange,IB_IntensityBasedMedianAbsoluteDeviation,0.9814097424914159,True,False
