feature,variance,log10_variance
Post2_GLSZM_LargeZoneLowGreyLevelEmphasis,10638626.86821718,7.026885577015449
Pre_GLRLM_RunLengthNonUniformity,20229328.384037677,7.305981464384832
Post2_GLSZM_ZoneSizeVariance,33996972.67095825,7.531440246135391
Post2_IB_TotalLesionGlycolysis,38219774.07426069,7.582288115513554
Post2_GLSZM_LargeZoneEmphasis,38455130.79636608,7.584954292847238
Pre_IB_IntensityVariance,62809155.86928344,7.798022956693745
Post2_GLRLM_RunLengthNonUniformity,90842822.494271,7.958290619324053
Pre_Morph_voxelsCounting_vx,226328210.55489802,8.354738689724677
Post2_Morph_voxelsCounting_vx,226328210.55489802,8.354738689724677
Post2_IB_IntensityVariance,537723257.8333304,8.730558821171618
Pre_GLSZM_ZoneSizeVariance,4056980341.1466055,9.608202903254675
Pre_GLSZM_LargeZoneEmphasis,4068905718.370124,9.609477626824045
Pre_GLCM_ClusterProminence,16815495679.03127,10.22570967376158
Post2_GLCM_ClusterProminence,29007808157.553806,10.462514914564752
Post2_GLSZM_LargeZoneHighGreyLevelEmphasis,750435252415.3904,11.875313227249837
Pre_Morph_IntegratedIntensity_Intensity,5672822254626.669,12.753799176118173
Post2_Morph_IntegratedIntensity_Intensity,38203008170178.67,13.582097561348162
Pre_GLSZM_LargeZoneHighGreyLevelEmphasis,85458561857224.14,13.93175558000087
Pre_IB_IntensityBasedEnergy,1.5882296082987763e+17,17.200913288021045
Post2_IB_IntensityBasedEnergy,8.056444906859346e+18,18.906143441564765
