Model,Threshold,Net_Benefit
ExtraTrees,0.36000000000000004,0.32565789473684215
ExtraTrees,0.37,0.31203007518796994
ExtraTrees,0.38,0.30050933786078093
ExtraTrees,0.39,0.28199597354040845
ExtraTrees,0.4,0.26315789473684215
ExtraTrees,0.41000000000000003,0.2649420160570919
ExtraTrees,0.42000000000000004,0.24742891712038714
ExtraTrees,0.43,0.24207448445675592
ExtraTrees,0.44,0.2236842105263158
ExtraTrees,0.45,0.24800637958532692
ExtraTrees,0.46,0.2543859649122807
ExtraTrees,0.47000000000000003,0.22757365110890435
ExtraTrees,0.48000000000000004,0.20040485829959515
ExtraTrees,0.49,0.20829033367733057
ExtraTrees,0.5,0.18421052631578946
ExtraTrees,0.51,0.15359828141783027
ExtraTrees,0.52,0.1505847953216374
ExtraTrees,0.53,0.16648002986188876
ExtraTrees,0.54,0.14721586575133483
ExtraTrees,0.55,0.11793372319688107
ExtraTrees,0.56,0.0996810207336523
ExtraTrees,0.5700000000000001,0.0909832721338229
ExtraTrees,0.5800000000000001,0.11278195488721802
ExtraTrees,0.59,0.11510483525887891
ExtraTrees,0.6,0.10526315789473684
ExtraTrees,0.61,0.10908681961313539
ExtraTrees,0.62,0.09095106186518928
